Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
GCA_043948855.1_ASM4394885v1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.89	1115861	301.5891472868217	2093642	0.35	2064	9	1115861	
GCA_043949115.1_ASM4394911v1_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.886	114146	295.1934892251261	2175588	0.35	2181	36	236846	
GCA_044549965.1_PDT002218678.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.893	187599	300.464461994077	2040951	0.35	2026	24	584417	
GCA_044716025.1_PDT002212190.1_genomic	99.99	0.12	Neural Network (Specific Model)	11	0.893	294285	303.8631790744467	2026867	0.35	1988	22	625108	
GCA_044773765.1_PDT002218330.1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.894	40721	299.4148406374502	2015045	0.35	2008	101	101460	
GCA_044807055.1_PDT002216746.1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.893	137950	298.71290944123314	2080838	0.35	2076	33	526546	
GCA_044815125.1_PDT002215822.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.891	122492	301.23426573426576	2027117	0.35	2002	34	254750	
GCA_044882105.1_PDT002213211.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.893	179611	302.6228426395939	2000437	0.35	1970	20	643148	
GCA_053009425.1_ASM5300942v1_genomic	99.99	0.11	Neural Network (Specific Model)	11	0.894	287366	302.5913654618474	2019894	0.35	1992	26	610371	
GCA_054996125.1_PDT003082412.1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.893	41134	299.2828475871954	2100535	0.35	2093	88	170882	
GCA_947252845.1_SRR17635816_bin.2_metaWRAP_v1.3_MAG_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.896	24893	298.7891156462585	1908358	0.35	1911	109	78786	
GCF_001694175.1_ASM169417v1_genomic	99.99	0.1	Neural Network (Specific Model)	11	0.89	132934	297.9735682819383	2047474	0.35	2043	60	271814	
GCF_030218085.1_ASM3021808v1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.89	133496	298.764039408867	2041624	0.35	2030	57	377198	
GCF_051415835.1_ASM5141583v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.867	2091946	296.0860476421974	2103340	0.36	2057	3	2091946	
GCF_900074475.1_mad15_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.893	64700	297.0345149253731	2136515	0.36	2144	97	223876	
GCA_001016035.1_ASM101603v1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.893	101664	296.48625114573787	2170636	0.35	2182	38	266800	
GCA_001398955.1_Child11-2_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.889	81286	297.37974075852134	2085865	0.35	2083	95	260496	
GCA_019793945.1_ASM1979394v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.892	235155	298.0352564102564	2184644	0.35	2184	22	506998	
GCA_019794085.1_ASM1979408v1_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.895	322018	300.1731499051233	2115688	0.36	2108	17	613691	
GCA_034516085.1_PDT001800284.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.891	383446	301.33365901319	2072283	0.35	2047	20	695417	
GCA_034604235.1_PDT001796986.1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.892	119298	301.9619140625	2075714	0.35	2048	35	502538	
GCA_037081155.1_ASM3708115v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.886	104012	298.88394584139263	2088719	0.35	2068	48	228213	
GCA_042686665.1_ASM4268666v1_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.887	218819	291.42433234421367	1988974	0.35	2022	149	415594	
GCA_043106275.1_PDT002221853.1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.894	493233	302.4403892944039	2083057	0.35	2055	15	723512	
GCA_043107225.1_PDT002221899.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	383069	301.7340050377834	2011400	0.35	1985	21	643157	
GCA_044407405.1_PDT002301877.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.895	146336	304.5488899385924	2157803	0.35	2117	33	205786	
GCA_044502695.1_PDT002219930.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	187204	303.9357986646122	1987590	0.35	1947	27	604675	
GCA_044888265.1_PDT002212769.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	187314	304.94171779141107	2003150	0.35	1956	22	561827	
GCA_045264885.1_PDT002487634.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.891	383650	299.1961462450593	2035607	0.35	2024	20	676427	
GCA_045272465.1_PDT002487275.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	146023	300.2371954251616	2027395	0.35	2011	26	557661	
GCA_045273595.1_PDT002487221.1_genomic	100.0	0.03	Neural Network (Specific Model)	11	0.893	149420	299.9034907597536	1959230	0.35	1948	24	500482	
GCA_045279935.1_PDT002486985.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.893	320594	302.01653306613224	2022841	0.35	1996	21	495229	
GCA_047389285.1_ASM4738928v1_genomic	99.99	0.03	Neural Network (Specific Model)	11	0.887	712975	300.40552995391704	1980906	0.35	1953	12	771581	
GCA_047389825.1_ASM4738982v1_genomic	99.99	0.06	Neural Network (Specific Model)	11	0.89	638149	302.91265060240966	2030908	0.35	1992	20	766547	
GCA_047392825.1_ASM4739282v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.89	103536	298.5149359886202	2119086	0.35	2109	33	282239	
GCA_053009485.1_ASM5300948v1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.892	383592	306.54781704781703	1981703	0.35	1924	15	644840	
GCA_055670185.1_ASM5567018v1_genomic	100.0	0.08	Neural Network (Specific Model)	11	0.884	82715	297.2893140457303	2157774	0.36	2143	53	227982	
GCA_900073445.1_SA195_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.893	40094	296.8559479553903	2142570	0.35	2152	145	112510	
GCF_000289595.1_ASM28959v1_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.895	141687	302.39930555555554	2040194	0.35	2016	23	334518	
GCF_001103585.1_6630_5_23_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.89	125096	295.406476558724	2057173	0.35	2069	28	450044	
GCF_001694945.1_ASM169494v1_genomic	99.99	0.12	Neural Network (Specific Model)	11	0.891	133806	300.3267031327697	2029480	0.35	2011	45	313369	
GCF_008710475.1_ASM871047v1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.889	121648	301.11733462095606	2101375	0.35	2071	41	205867	
GCF_042687105.1_ASM4268710v1_genomic	99.99	0.05	Neural Network (Specific Model)	11	0.888	186328	292.30551558752995	2055775	0.35	2085	132	475504	
GCF_047689875.1_ASM4768987v1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.893	149002	304.7690274841437	1934236	0.35	1892	21	638310	
GCA_001880685.1_ASM188068v1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.889	102163	298.09078467153284	2201218	0.35	2192	43	260136	
GCA_020984025.1_ASM2098402v1_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.89	161427	304.4164054336468	1961370	0.35	1914	51	475973	
GCA_022586015.1_ASM2258601v1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.89	106405	301.295421686747	2103615	0.35	2075	40	351418	
GCA_027862895.1_ASM2786289v1_genomic	100.0	0.08	Neural Network (Specific Model)	11	0.889	89868	295.8400726942299	2193442	0.35	2201	59	180976	
GCA_034608455.1_PDT001796761.1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.894	101586	306.63166144200625	1965707	0.35	1914	28	289872	
GCA_043106375.1_PDT002221848.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.893	154534	303.9010494752624	2040849	0.35	2001	34	384248	
GCA_043126665.1_PDT002226185.1_genomic	100.0	0.05	Neural Network (Specific Model)	11	0.892	320826	302.41384537645274	2009939	0.35	1979	18	630066	
GCA_044711735.1_PDT002212520.1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.892	113687	304.6490166414524	2028056	0.35	1983	42	290590	
GCA_044777305.1_PDT002217909.1_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.894	149417	300.70924453280315	2026996	0.35	2012	26	550367	
GCA_044872105.1_PDT002213733.1_genomic	99.99	0.08	Neural Network (Specific Model)	11	0.894	383568	302.3302516692347	1972536	0.35	1947	21	643847	
GCA_044886505.1_PDT002212881.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.892	167178	301.39791873141723	2042666	0.35	2018	29	572634	
GCA_045496015.1_PDT002494559.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.892	91564	300.18482490272373	2072353	0.35	2056	47	265359	
GCA_045780685.1_PDT002487288.1_genomic	99.99	0.11	Neural Network (Specific Model)	11	0.893	344610	304.76006191950466	1981683	0.35	1938	21	651981	
GCA_047373145.1_PDT002605158.1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.892	125400	302.98200899550227	2036479	0.35	2001	20	327263	
GCA_047379505.1_ASM4737950v1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	129587	301.7555668016194	2001057	0.35	1976	21	352277	
GCF_001142165.1_6630_7_6_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.89	103387	301.57811729916216	2059317	0.35	2029	34	317262	
GCF_011319325.1_ASM1131932v1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.888	95745	300.5029013539652	2095708	0.35	2068	40	205753	
GCF_027862535.1_ASM2786253v1_genomic	100.0	0.04	Neural Network (Specific Model)	11	0.892	525991	306.41112266112265	1980773	0.35	1924	27	698200	
GCF_041366655.1_ASM4136665v1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.888	220604	309.7284803400637	1965198	0.35	1882	14	494171	
GCF_053549895.1_ASM5354989v1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.889	98959	296.1659302896416	2032362	0.35	2037	50	260811	
GCF_900074395.1_VSA92_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.892	46947	294.62565320665084	2082327	0.35	2105	137	108905	
GCA_001399415.1_Child19-2_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.891	86975	300.7536304456685	2019811	0.35	1997	80	243671	
GCA_016454945.1_ASM1645494v1_genomic	95.48	0.1	Neural Network (Specific Model)	11	0.822	2065471	303.44111349036405	2065471	0.35	1868	1	2065471	
GCA_034352605.1_PDT001878660.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.893	179346	305.34183142559834	1967848	0.35	1922	25	537997	
GCA_034380715.1_PDT001861323.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	108343	294.5319943951425	2117697	0.35	2141	58	292315	
GCA_034596495.1_PDT001797400.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.892	125494	301.24220746039856	1978484	0.35	1957	34	261827	
GCA_034607295.1_PDT001796825.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.89	234048	302.90188305252724	2056500	0.35	2018	23	627400	
GCA_043112985.1_PDT002224674.1_genomic	100.0	0.08	Neural Network (Specific Model)	11	0.891	82505	302.572632622707	2050555	0.35	2017	44	221487	
GCA_044086995.1_PDT002224875.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.892	187334	301.4828614008942	2036976	0.35	2013	25	347977	
GCA_044119045.1_PDT002223923.1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.892	134929	299.3185542168675	2086052	0.35	2075	45	306211	
GCA_044427785.1_PDT002220805.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	189080	305.7284663865546	1954558	0.35	1904	27	346913	
GCA_044851145.1_PDT002214282.1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.89	67836	299.573673870334	2051829	0.35	2036	75	152984	
GCA_045284635.1_PDT002486764.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.891	179436	305.32775744903296	1962668	0.35	1913	22	704102	
GCA_047689965.1_ASM4768996v1_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.891	188131	301.6105466860184	2094553	0.35	2067	27	313202	
GCA_901875485.1_Streptococcus_agalactiae_BgEED28_genomic	100.0	0.08	Neural Network (Specific Model)	11	0.892	139175	305.3446913580247	2076052	0.35	2025	20	611306	
GCA_920938415.1_GCA_PHEGBS0207_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.889	161585	301.7492753623188	2104273	0.35	2070	38	311394	
GCF_001016595.1_ASM101659v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.891	160092	299.3907284768212	2126902	0.35	2114	22	322075	
GCF_043949045.1_ASM4394904v1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.887	133458	304.62104187946886	2013414	0.35	1958	26	263696	
GCF_900074245.1_VSA77_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	39874	294.0810426540284	2083744	0.35	2110	142	108907	
GCA_001399015.1_Child12-2_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.89	40221	286.6918103448276	2237724	0.35	2320	173	140787	
GCA_001694935.1_ASM169493v1_genomic	99.99	0.12	Neural Network (Specific Model)	11	0.891	204641	300.8255	2022907	0.35	2000	48	286992	
GCA_029528145.1_ASM2952814v1_genomic	100.0	0.08	Neural Network (Specific Model)	11	0.89	91887	300.85494402985074	2171082	0.35	2144	47	223012	
GCA_030078375.1_ASM3007837v1_genomic	100.0	0.03	Neural Network (Specific Model)	11	0.878	2009706	303.3542739443872	2009706	0.35	1942	1	2009706	
GCA_034632775.1_PDT001789794.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.896	23666	295.4865537848606	1983485	0.35	2008	143	81459	
GCA_043173485.1_PDT002237091.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.893	113684	304.03575025176235	2026523	0.35	1986	46	255116	
GCA_044119785.1_PDT002223887.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.893	179590	306.8678552700577	1962777	0.35	1907	21	604856	
GCA_044530205.1_PDT002219323.1_genomic	99.99	0.09	Neural Network (Specific Model)	11	0.893	383255	304.0123203285421	1985459	0.35	1948	21	621957	
GCA_044550575.1_PDT002218666.1_genomic	99.99	0.11	Neural Network (Specific Model)	11	0.893	320851	302.66733870967744	2015329	0.35	1984	18	581228	
GCA_044551065.1_PDT002218643.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.893	272727	305.56882168925966	1965920	0.35	1918	24	538607	
GCA_044717835.1_PDT002212088.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	312310	303.31022267206475	2013285	0.35	1976	21	483561	
GCA_044729365.1_PDT002211413.1_genomic	99.99	0.11	Neural Network (Specific Model)	11	0.891	179608	302.066765578635	2052804	0.35	2022	29	633283	
GCA_044783805.1_PDT002217646.1_genomic	99.99	0.12	Neural Network (Specific Model)	11	0.892	197439	301.8153465346535	2047657	0.35	2020	25	382657	
GCA_044812975.1_PDT002216548.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	348085	302.2288855572214	2031203	0.35	2001	24	667560	
GCA_044819645.1_PDT002215616.1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.892	320851	301.31497245868803	2020875	0.35	1997	24	383566	
GCA_045511625.1_PDT002486109.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.894	40882	299.59610584123817	2011089	0.35	2003	93	101463	
GCA_920937615.1_GCA_PHEGBS0095_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.892	195022	300.69269020387867	2029738	0.35	2011	26	649906	
GCA_920937705.1_GCA_PHEGBS0080_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.889	42988	299.751364764268	2035080	0.35	2015	94	92771	
GCA_920937985.1_GCA_PHEGBS0193_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.893	124090	276.22617479139217	2109259	0.35	2277	289	488568	
GCA_920938645.1_GCA_PHEGBS0416_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.89	95462	303.550739418664	2002492	0.35	1961	36	280573	
GCF_000288815.1_ASM28881v1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.888	105404	294.9913043478261	2172709	0.35	2185	46	264504	
GCF_001147165.1_6630_8_7_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.888	84648	299.42519305019306	2091588	0.35	2072	44	180441	
GCF_001349015.1_6630_5_11_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.89	213044	303.99203187251	2054892	0.35	2008	20	368067	
GCF_008710575.1_ASM871057v1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.89	117139	300.0074801309023	2159807	0.35	2139	37	265783	
GCF_041451225.1_ASM4145122v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.893	94703	300.9289644822411	2016855	0.35	1999	35	311699	
GCF_044069015.1_ASM4406901v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.891	122277	298.29816069699905	2072788	0.35	2066	29	397867	
GCA_000782855.1_ASM78285v1_genomic	100.0	0.03	Neural Network (Specific Model)	11	0.878	2013842	303.73559670781896	2013842	0.35	1944	1	2013842	
GCA_001018255.1_ASM101825v1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.893	159437	298.51724137931035	2031318	0.35	2030	22	322380	
GCA_020984205.1_ASM2098420v1_genomic	99.99	0.07	Neural Network (Specific Model)	11	0.89	96335	299.07323232323233	1992623	0.35	1980	78	256698	
GCA_029527095.1_ASM2952709v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.892	124067	298.5246391239423	2014242	0.35	2009	42	375108	
GCA_032582775.1_ASM3258277v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.888	42235	300.0943209876543	2048865	0.35	2025	88	103833	
GCA_034345265.1_PDT001879003.1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.894	80284	305.4349869451697	1960819	0.35	1915	57	260867	
GCA_034615715.1_PDT001796384.1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.893	134369	303.7573849878935	2104679	0.35	2065	36	245264	
GCA_037080275.1_ASM3708027v1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.886	79234	297.5812591508053	2060463	0.35	2049	49	201840	
GCA_044420085.1_PDT002221794.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.892	383651	306.21603331598124	1974674	0.35	1921	22	604992	
GCA_044489385.1_PDT002220592.1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.893	320827	304.1395939086294	2009833	0.35	1970	19	603961	
GCA_044518605.1_PDT002219764.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.892	115809	300.1231143552312	2070720	0.35	2055	42	322001	
GCA_044775185.1_PDT002218152.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.893	383348	302.31145885916203	2009448	0.35	1981	22	646688	
GCA_044851525.1_PDT002214261.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.892	320854	301.4225630875804	2045468	0.35	2021	22	383922	
GCA_044865495.1_PDT002213865.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	192963	300.7331995987964	2012528	0.35	1994	22	429586	
GCA_045284565.1_PDT002486777.1_genomic	99.99	0.12	Neural Network (Specific Model)	11	0.891	177257	305.37902813299235	2006608	0.35	1955	28	493086	
GCA_045781395.1_PDT002486492.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	320668	301.2046696472926	2035575	0.35	2013	29	380656	
GCA_047388945.1_ASM4738894v1_genomic	100.0	0.06	Neural Network (Specific Model)	11	0.896	257107	308.20262758969176	2037772	0.35	1979	10	816491	
GCA_047389945.1_ASM4738994v1_genomic	99.99	0.06	Neural Network (Specific Model)	11	0.887	589910	304.73113708820404	1935860	0.35	1882	19	723699	
GCA_053009365.1_ASM5300936v1_genomic	100.0	0.1	Neural Network (Specific Model)	11	0.892	134134	302.8248175182481	2090011	0.35	2055	32	518804	
GCA_920938795.1_GCA_PHEGBS0501_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.89	91861	298.9914701455093	2005879	0.35	1993	45	331270	
GCA_920939105.1_GCA_PHEGBS0532_genomic	100.0	0.08	Neural Network (Specific Model)	11	0.891	290420	301.2985002418965	2093274	0.35	2067	23	481015	
GCF_001015685.1_ASM101568v1_genomic	98.91	0.09	Neural Network (Specific Model)	11	0.894	188751	306.4888888888889	1941007	0.35	1890	18	501123	
GCF_001115485.1_6630_7_4_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.892	349674	302.5655138821237	2085568	0.35	2053	16	707228	
GCF_006543105.1_ASM654310v1_genomic	100.0	0.03	Neural Network (Specific Model)	11	0.894	223881	308.0157315154693	1967099	0.35	1907	18	423021	
GCF_028327225.1_ASM2832722v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.885	52381	300.2424542305789	2053169	0.35	2021	86	116788	
GCF_053546235.1_ASM5354623v1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.888	127903	296.4797659678206	2049966	0.35	2051	40	260864	
GCF_053550015.1_ASM5355001v1_genomic	100.0	0.08	Neural Network (Specific Model)	11	0.89	153463	300.1929648241206	2011328	0.35	1990	31	347709	
GCA_001123205.1_6630_5_24_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.893	125138	303.4885114885115	2038779	0.35	2002	30	280716	
GCA_004369875.1_ASM436987v1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.89	83228	294.8019417475728	2043662	0.35	2060	38	207659	
GCA_029529975.1_ASM2952997v1_genomic	100.0	0.07	Neural Network (Specific Model)	11	0.891	124868	299.9787771601819	1995294	0.35	1979	34	264237	
GCA_044093135.1_PDT002224197.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.892	115069	304.3666162380232	2026247	0.35	1983	46	264232	
GCA_044483165.1_PDT002220706.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.892	115809	298.25580270793034	2071250	0.35	2068	42	266570	
GCA_044487785.1_PDT002220626.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.892	103334	300.26777020447906	2071859	0.35	2054	43	236349	
GCA_044785715.1_PDT002217544.1_genomic	99.99	0.09	Neural Network (Specific Model)	11	0.892	210462	302.25981873111783	2015809	0.35	1986	25	482567	
