Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
GCA_034450545.1_PDT001812603.1_genomic	100.0	0.26	Neural Network (Specific Model)	11	0.894	84285	304.3367697594502	2078146	0.35	2037	39	252104	None
GCA_034452365.1_PDT001812530.1_genomic	100.0	7.16	Neural Network (Specific Model)	11	0.893	138609	300.94899904671115	2118261	0.35	2098	27	484336	None
GCA_034455705.1_PDT001812369.1_genomic	100.0	0.51	Neural Network (Specific Model)	11	0.888	124429	301.836961780358	2103753	0.35	2067	24	524764	None
GCA_034456125.1_PDT001812355.1_genomic	100.0	18.06	Neural Network (Specific Model)	11	0.894	302036	305.8714642262895	2465027	0.35	2404	21	764100	None
GCA_034463125.1_PDT001812075.1_genomic	100.0	0.14	Neural Network (Specific Model)	11	0.892	383655	301.27154308617236	2019516	0.35	1996	23	652008	None
GCA_034466965.1_PDT001811981.1_genomic	100.0	0.36	Neural Network (Specific Model)	11	0.891	524629	301.76222435282835	2116461	0.35	2086	18	703365	None
GCA_034469605.1_PDT001811861.1_genomic	100.0	0.22	Neural Network (Specific Model)	11	0.891	98087	301.84189120488054	1995000	0.35	1967	36	260290	None
GCA_034472165.1_PDT001811733.1_genomic	100.0	3.58	Neural Network (Specific Model)	11	0.891	91709	303.01807228915663	2029061	0.35	1992	39	280660	None
GCA_034500075.1_PDT001800074.1_genomic	100.0	1.56	Neural Network (Specific Model)	11	0.894	237382	302.25138888888887	2187850	0.35	2160	26	368885	None
GCA_034500875.1_PDT001800012.1_genomic	100.0	0.61	Neural Network (Specific Model)	11	0.892	42035	299.99514563106794	2074912	0.35	2060	89	102923	None
GCA_034516445.1_PDT001800210.1_genomic	99.99	0.15	Neural Network (Specific Model)	11	0.892	165943	301.7218673218673	2060758	0.35	2035	30	405492	None
GCA_034517125.1_PDT001800149.1_genomic	100.0	0.34	Neural Network (Specific Model)	11	0.893	175862	301.59446564885496	2120320	0.35	2096	22	341076	None
GCA_034527935.1_PDT001799041.1_genomic	100.0	5.14	Neural Network (Specific Model)	11	0.893	122594	302.64910714285713	2273670	0.35	2240	35	403294	None
GCA_034528975.1_PDT001798944.1_genomic	100.0	0.35	Neural Network (Specific Model)	11	0.891	177636	301.6735294117647	2069678	0.35	2040	21	524531	None
GCA_034552075.1_PDT001798749.1_genomic	100.0	0.19	Neural Network (Specific Model)	11	0.893	326390	303.5929203539823	2071587	0.35	2034	17	597480	None
GCA_034552275.1_PDT001798728.1_genomic	100.0	0.36	Neural Network (Specific Model)	11	0.888	525575	300.7797590361446	2105954	0.35	2075	18	652151	None
GCA_034579155.1_PDT001798633.1_genomic	100.0	6.27	Neural Network (Specific Model)	11	0.892	320853	302.19384474046853	2209028	0.35	2177	20	628447	None
GCA_034579795.1_PDT001798594.1_genomic	100.0	0.33	Neural Network (Specific Model)	11	0.893	92733	298.23914968999117	2257697	0.35	2258	55	210598	None
GCA_034579935.1_PDT001798589.1_genomic	100.0	1.4	Neural Network (Specific Model)	11	0.892	263566	304.7696285848613	2177757	0.35	2127	25	540723	None
GCA_034580815.1_PDT001798515.1_genomic	100.0	2.58	Neural Network (Specific Model)	11	0.889	126002	301.57289127254995	2082948	0.35	2051	37	260451	None
GCA_034580975.1_PDT001798507.1_genomic	100.0	0.37	Neural Network (Specific Model)	11	0.89	105665	295.9481621112158	2113135	0.35	2122	44	196624	None
GCA_034584495.1_PDT001798176.1_genomic	100.0	1.74	Neural Network (Specific Model)	11	0.893	382932	301.3179190751445	2098092	0.35	2076	19	700386	None
GCA_034585155.1_PDT001798111.1_genomic	100.0	7.01	Neural Network (Specific Model)	11	0.891	124042	301.4377901578459	2183422	0.35	2154	35	262018	None
GCA_034587255.1_PDT001797938.1_genomic	100.0	6.43	Neural Network (Specific Model)	11	0.894	312242	303.6380733944954	2218082	0.35	2180	18	676248	None
GCA_034589315.1_PDT001797762.1_genomic	100.0	1.54	Neural Network (Specific Model)	11	0.891	123186	299.0788964181994	2077430	0.35	2066	37	196262	None
GCA_034590675.1_PDT001797695.1_genomic	100.0	0.85	Neural Network (Specific Model)	11	0.889	118881	300.9601153291687	2110861	0.35	2081	24	524521	None
GCA_034591115.1_PDT001797673.1_genomic	100.0	0.69	Neural Network (Specific Model)	11	0.893	169400	298.4639175257732	2232010	0.35	2231	39	260418	None
GCA_034592875.1_PDT001797584.1_genomic	100.0	1.08	Neural Network (Specific Model)	11	0.892	40878	296.6311858076564	2133004	0.35	2142	109	110630	None
GCA_034594615.1_PDT001797496.1_genomic	100.0	0.42	Neural Network (Specific Model)	11	0.891	183209	299.8888367729831	2148923	0.35	2132	18	598701	None
GCA_034594935.1_PDT001797479.1_genomic	100.0	0.36	Neural Network (Specific Model)	11	0.892	215993	302.4576923076923	2112707	0.35	2080	19	396288	None
GCA_034595215.1_PDT001797466.1_genomic	100.0	16.81	Neural Network (Specific Model)	11	0.893	314275	304.0579389650597	2305833	0.35	2261	22	674644	None
GCA_034598855.1_PDT001797277.1_genomic	100.0	0.26	Neural Network (Specific Model)	11	0.892	60246	293.95352915387986	2250227	0.36	2281	99	139288	None
GCA_034599735.1_PDT001797228.1_genomic	100.0	0.18	Neural Network (Specific Model)	11	0.892	126002	301.01045296167246	2030653	0.35	2009	34	260518	None
GCA_034600315.1_PDT001797199.1_genomic	100.0	6.98	Neural Network (Specific Model)	11	0.891	125495	303.36554021894335	2143032	0.35	2101	37	260387	None
GCA_034601295.1_PDT001797146.1_genomic	100.0	0.38	Neural Network (Specific Model)	11	0.891	503072	302.5398058252427	2093979	0.35	2060	20	756479	None
GCA_034605605.1_PDT001796914.1_genomic	100.0	0.58	Neural Network (Specific Model)	11	0.892	370945	297.9938271604938	2269532	0.35	2268	26	398545	None
GCA_034617195.1_PDT001796304.1_genomic	100.0	5.26	Neural Network (Specific Model)	11	0.893	43870	299.5444806707033	2156928	0.36	2147	89	101429	None
GCA_034621225.1_PDT001796071.1_genomic	100.0	0.17	Neural Network (Specific Model)	11	0.894	52687	301.78278278278276	2018768	0.35	1998	84	113336	None
GCA_034621965.1_PDT001796043.1_genomic	100.0	3.21	Neural Network (Specific Model)	11	0.892	321095	302.5974472263132	2069038	0.35	2037	22	620503	None
GCA_034622185.1_PDT001796033.1_genomic	100.0	1.12	Neural Network (Specific Model)	11	0.893	78289	306.23960765997197	2199499	0.35	2141	43	183863	None
GCA_034622345.1_PDT001796024.1_genomic	100.0	0.14	Neural Network (Specific Model)	11	0.891	105665	296.8040796963947	2104146	0.35	2108	52	194503	None
GCA_034622885.1_PDT001795993.1_genomic	100.0	0.34	Neural Network (Specific Model)	11	0.891	189559	300.0033285782216	2120515	0.35	2103	23	368886	None
GCA_034623855.1_PDT001795939.1_genomic	100.0	1.19	Neural Network (Specific Model)	11	0.892	315834	304.008337193145	2203935	0.35	2159	24	483102	None
GCA_034624865.1_PDT001795889.1_genomic	100.0	0.29	Neural Network (Specific Model)	11	0.892	88566	298.11878952122856	2215434	0.35	2214	46	320981	None
GCA_034625365.1_PDT001795855.1_genomic	100.0	3.54	Neural Network (Specific Model)	11	0.891	293648	305.6340383669454	2087985	0.35	2033	19	653400	None
GCA_034634435.1_PDT001798693.1_genomic	100.0	0.46	Neural Network (Specific Model)	11	0.892	251299	303.0479704797048	2206340	0.35	2168	20	568976	None
GCA_034634775.1_PDT001798673.1_genomic	100.0	0.38	Neural Network (Specific Model)	11	0.891	183286	302.91852570320077	2100765	0.35	2062	24	370348	None
GCA_034636435.1_PDT001738810.1_genomic	100.0	0.25	Neural Network (Specific Model)	11	0.892	79032	302.30063137445364	2088983	0.35	2059	58	172874	None
GCA_034637595.1_PDT001738717.1_genomic	100.0	0.73	Neural Network (Specific Model)	11	0.894	113481	298.2494558119286	2294036	0.35	2297	35	367743	None
GCA_034638455.1_PDT001738681.1_genomic	100.0	6.76	Neural Network (Specific Model)	11	0.895	113095	302.3731408573928	2313754	0.35	2286	35	398352	None
GCA_034642935.1_PDT001799156.1_genomic	100.0	6.36	Neural Network (Specific Model)	11	0.894	87993	307.56738544474393	2292743	0.35	2226	45	195769	None
GCA_034642975.1_PDT001796006.1_genomic	100.0	0.15	Neural Network (Specific Model)	11	0.892	181101	303.43529411764706	1991180	0.35	1955	26	368842	None
GCA_042923955.1_PDT002099777.1_genomic	100.0	1.82	Neural Network (Specific Model)	11	0.891	91704	296.4256756756757	2063141	0.35	2072	56	205644	None
GCA_043109465.1_PDT002224017.1_genomic	99.99	0.16	Neural Network (Specific Model)	11	0.894	165946	302.359444719881	2044124	0.35	2017	34	468843	None
GCA_043121745.1_PDT002225015.1_genomic	100.0	0.33	Neural Network (Specific Model)	11	0.893	132584	301.2465139442231	2028289	0.35	2008	34	276682	None
GCA_043128065.1_PDT002226527.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.894	139511	297.3704902867715	2153895	0.35	2162	35	236197	None
GCA_043128565.1_PDT002226460.1_genomic	100.0	0.19	Neural Network (Specific Model)	11	0.893	39778	299.2513421181064	2056987	0.35	2049	103	101460	None
GCA_043129205.1_PDT002226279.1_genomic	100.0	0.27	Neural Network (Specific Model)	11	0.892	189558	299.85305528613	2076845	0.35	2062	31	368847	None
GCA_043365755.1_PDT002276100.1_genomic	100.0	0.53	Neural Network (Specific Model)	11	0.891	175956	298.5452498874381	2228068	0.36	2221	33	318010	None
GCA_044072315.1_PDT002226015.1_genomic	100.0	0.42	Neural Network (Specific Model)	11	0.887	158676	300.29692011549565	2106929	0.35	2078	23	524839	None
GCA_044073855.1_PDT002225906.1_genomic	100.0	0.36	Neural Network (Specific Model)	11	0.892	179357	302.8998602701444	2184071	0.35	2147	33	401382	None
GCA_044075235.1_PDT002225808.1_genomic	100.0	0.37	Neural Network (Specific Model)	11	0.891	119204	302.4775390625	2083415	0.35	2048	28	322940	None
GCA_044076535.1_PDT002225207.1_genomic	100.0	0.17	Neural Network (Specific Model)	11	0.891	63352	304.2589641434263	2052604	0.35	2008	63	247418	None
GCA_044086815.1_PDT002224895.1_genomic	100.0	0.47	Neural Network (Specific Model)	11	0.891	160822	301.42692860565404	2114151	0.35	2087	27	499543	None
GCA_044088915.1_PDT002224359.1_genomic	100.0	0.17	Neural Network (Specific Model)	11	0.891	91706	299.41710463449596	2105829	0.35	2093	57	205727	None
GCA_044095625.1_PDT002224150.1_genomic	100.0	0.4	Neural Network (Specific Model)	11	0.894	361654	301.84311790823875	2049487	0.35	2027	22	741185	None
GCA_044098145.1_PDT002224093.1_genomic	100.0	0.53	Neural Network (Specific Model)	11	0.892	41134	300.605694980695	2090621	0.35	2072	94	113741	None
GCA_044098305.1_PDT002224085.1_genomic	100.0	0.14	Neural Network (Specific Model)	11	0.892	184112	303.8795785248369	2032829	0.35	1993	23	633576	None
GCA_044405865.1_PDT002302189.1_genomic	100.0	0.39	Neural Network (Specific Model)	11	0.893	118576	301.6491835724889	2045117	0.35	2021	21	650035	None
GCA_044418605.1_PDT002221951.1_genomic	100.0	0.43	Neural Network (Specific Model)	11	0.892	183162	300.4161105815062	2115843	0.35	2098	21	639317	None
GCA_044426645.1_PDT002220832.1_genomic	100.0	0.2	Neural Network (Specific Model)	11	0.891	82663	296.87406015037595	2123961	0.35	2128	47	235955	None
GCA_044426985.1_PDT002220821.1_genomic	100.0	0.35	Neural Network (Specific Model)	11	0.893	180728	300.6975425330813	2134057	0.35	2116	28	368889	None
GCA_044427545.1_PDT002220812.1_genomic	100.0	0.37	Neural Network (Specific Model)	11	0.891	160825	302.7386811023622	2068247	0.35	2032	26	491523	None
GCA_044486205.1_PDT002220641.1_genomic	100.0	0.46	Neural Network (Specific Model)	11	0.894	198217	298.7541498429789	2231482	0.35	2229	28	398353	None
GCA_044491665.1_PDT002220488.1_genomic	100.0	0.43	Neural Network (Specific Model)	11	0.893	149502	302.32813261823503	2080761	0.35	2051	27	438772	None
GCA_044495185.1_PDT002220351.1_genomic	100.0	0.22	Neural Network (Specific Model)	11	0.891	217973	302.666	2033875	0.35	2000	26	368886	None
GCA_044495585.1_PDT002220343.1_genomic	100.0	0.21	Neural Network (Specific Model)	11	0.892	126382	302.11287027579164	1985958	0.35	1958	35	280576	None
GCA_044496165.1_PDT002220314.1_genomic	100.0	0.13	Neural Network (Specific Model)	11	0.892	263915	302.4374686087393	2021650	0.35	1991	24	450351	None
GCA_044501725.1_PDT002219970.1_genomic	100.0	0.13	Neural Network (Specific Model)	11	0.891	105665	299.1833824975418	2046370	0.35	2034	41	195900	None
GCA_044503425.1_PDT002219888.1_genomic	100.0	0.37	Neural Network (Specific Model)	11	0.891	183414	303.3148788927336	2062710	0.35	2023	27	370416	None
GCA_044511105.1_PDT002219845.1_genomic	100.0	0.37	Neural Network (Specific Model)	11	0.892	265406	304.9098795180723	2124429	0.35	2075	28	368885	None
GCA_044518225.1_PDT002219775.1_genomic	100.0	0.21	Neural Network (Specific Model)	11	0.892	118189	302.88317523714426	2037831	0.35	2003	30	348220	None
GCA_044519145.1_PDT002219741.1_genomic	100.0	0.36	Neural Network (Specific Model)	11	0.892	152154	303.66172248803827	2132164	0.35	2090	27	343990	None
GCA_044523725.1_PDT002219629.1_genomic	100.0	0.13	Neural Network (Specific Model)	11	0.892	383614	300.2972431077694	2011971	0.35	1995	22	650563	None
GCA_044528205.1_PDT002219488.1_genomic	100.0	0.09	Neural Network (Specific Model)	11	0.891	127442	302.579001019368	1995939	0.35	1962	40	278488	None
GCA_044533725.1_PDT002219234.1_genomic	100.0	0.41	Neural Network (Specific Model)	11	0.894	91325	296.5736399823087	2247315	0.35	2261	38	300044	None
GCA_044537925.1_PDT002219171.1_genomic	100.0	0.92	Neural Network (Specific Model)	11	0.892	114200	297.1938266000908	2198055	0.35	2203	37	228462	None
GCA_044539825.1_PDT002219117.1_genomic	100.0	0.13	Neural Network (Specific Model)	11	0.894	299164	306.70940620073566	1956475	0.35	1903	23	596605	None
GCA_044549595.1_PDT002218697.1_genomic	100.0	0.35	Neural Network (Specific Model)	11	0.893	366924	301.8430693069307	2045913	0.35	2020	22	674838	None
GCA_044550665.1_PDT002218662.1_genomic	100.0	0.33	Neural Network (Specific Model)	11	0.893	126960	299.98700048146367	2090775	0.35	2077	26	374047	None
GCA_044552965.1_PDT002218558.1_genomic	100.0	0.29	Neural Network (Specific Model)	11	0.89	218163	302.0129675810474	2037940	0.35	2005	28	368886	None
GCA_044553625.1_PDT002218522.1_genomic	100.0	0.54	Neural Network (Specific Model)	11	0.889	177430	299.773826458037	2128859	0.35	2109	21	538894	None
GCA_044714575.1_PDT002212257.1_genomic	100.0	0.33	Neural Network (Specific Model)	11	0.891	309163	302.09155937052935	2128795	0.35	2097	24	398641	None
GCA_044715715.1_PDT002212201.1_genomic	100.0	0.18	Neural Network (Specific Model)	11	0.891	126001	301.7869565217391	2099234	0.35	2070	39	260187	None
GCA_044717235.1_PDT002212118.1_genomic	100.0	0.15	Neural Network (Specific Model)	11	0.891	294286	300.42354076218044	2092724	0.35	2073	25	475765	None
GCA_044718055.1_PDT002212078.1_genomic	100.0	0.28	Neural Network (Specific Model)	11	0.891	87244	296.36346691519105	2137030	0.35	2146	51	251924	None
GCA_044721885.1_PDT002212001.1_genomic	100.0	0.41	Neural Network (Specific Model)	11	0.893	82504	303.0814673654121	2134523	0.36	2099	54	201876	None
GCA_044723385.1_PDT002211830.1_genomic	100.0	0.76	Neural Network (Specific Model)	11	0.892	182473	299.2617117117117	2230440	0.35	2220	33	523300	None
GCA_044724975.1_PDT002211879.1_genomic	100.0	0.33	Neural Network (Specific Model)	11	0.892	383542	301.5258493353028	2055257	0.35	2031	22	668552	None
GCA_044786915.1_PDT002217435.1_genomic	100.0	0.17	Neural Network (Specific Model)	11	0.893	130432	303.76199804113617	2081189	0.35	2042	37	235440	None
GCA_044787555.1_PDT002217385.1_genomic	100.0	0.45	Neural Network (Specific Model)	11	0.892	159437	298.29341864716633	2191508	0.35	2188	32	265960	None
GCA_044791695.1_PDT002216944.1_genomic	100.0	1.01	Neural Network (Specific Model)	11	0.893	43869	301.6699123661149	2077658	0.35	2054	88	113685	None
GCA_044792875.1_PDT002216838.1_genomic	100.0	0.15	Neural Network (Specific Model)	11	0.89	126001	299.71185617103987	2076529	0.35	2058	39	260375	None
GCA_044794575.1_PDT002216652.1_genomic	100.0	0.35	Neural Network (Specific Model)	11	0.891	179551	304.90208747514913	2063147	0.35	2012	29	369182	None
GCA_044797235.1_PDT002218137.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.891	383492	305.2573904179409	2012970	0.35	1962	27	625748	None
GCA_044799715.1_PDT002217922.1_genomic	100.0	0.14	Neural Network (Specific Model)	11	0.892	126600	299.3992210321324	2065248	0.35	2054	36	353348	None
GCA_044800175.1_PDT002217821.1_genomic	100.0	0.41	Neural Network (Specific Model)	11	0.891	183286	302.9331366764995	2071966	0.35	2034	20	583058	None
GCA_044800735.1_PDT002217364.1_genomic	100.0	0.33	Neural Network (Specific Model)	11	0.892	78590	304.55174081237914	2114300	0.35	2068	49	236923	None
GCA_044801215.1_PDT002217322.1_genomic	100.0	0.28	Neural Network (Specific Model)	11	0.893	78695	304.48229665071773	2134658	0.35	2090	50	195703	None
GCA_044818605.1_PDT002215674.1_genomic	100.0	0.31	Neural Network (Specific Model)	11	0.893	265989	303.7144927536232	2108368	0.35	2070	23	368886	None
GCA_044821965.1_PDT002215505.1_genomic	100.0	0.47	Neural Network (Specific Model)	11	0.893	370332	296.15919085312225	2258982	0.35	2274	25	424445	None
GCA_044822085.1_PDT002215500.1_genomic	100.0	0.35	Neural Network (Specific Model)	11	0.891	215535	301.77471716674864	2063059	0.35	2033	23	436640	None
GCA_044835805.1_PDT002215144.1_genomic	100.0	0.41	Neural Network (Specific Model)	11	0.892	106352	294.50186219739294	2124491	0.35	2148	71	323644	None
GCA_044836185.1_PDT002215119.1_genomic	99.99	0.15	Neural Network (Specific Model)	11	0.893	228855	302.27766895200784	2071145	0.35	2042	29	610624	None
GCA_044838465.1_PDT002215058.1_genomic	100.0	0.15	Neural Network (Specific Model)	11	0.893	149417	303.91065989847715	2008690	0.35	1970	28	511948	None
GCA_044841385.1_PDT002214942.1_genomic	100.0	0.41	Neural Network (Specific Model)	11	0.891	177022	302.7458292443572	2074866	0.35	2038	21	370151	None
GCA_044844785.1_PDT002214841.1_genomic	100.0	0.58	Neural Network (Specific Model)	11	0.892	153902	299.1960252935863	2223241	0.35	2214	28	398659	None
GCA_044850825.1_PDT002214295.1_genomic	100.0	1.04	Neural Network (Specific Model)	11	0.894	126833	297.111213659437	2157954	0.35	2167	44	296329	None
GCA_044854105.1_PDT002214167.1_genomic	100.0	0.85	Neural Network (Specific Model)	11	0.888	115351	301.4857419043016	2103208	0.35	2069	28	368572	None
GCA_044857565.1_PDT002214071.1_genomic	100.0	0.51	Neural Network (Specific Model)	11	0.892	40878	298.9326119035907	2040461	0.35	2033	109	100908	None
GCA_044859825.1_PDT002213970.1_genomic	100.0	0.36	Neural Network (Specific Model)	11	0.891	110135	303.3296170625303	2103296	0.35	2063	29	341247	None
GCA_044866835.1_PDT002213820.1_genomic	100.0	0.37	Neural Network (Specific Model)	11	0.891	183243	302.39057899901866	2070981	0.35	2038	21	597617	None
GCA_044868725.1_PDT002213787.1_genomic	100.0	0.08	Neural Network (Specific Model)	11	0.892	83795	296.1340206185567	2121732	0.35	2134	50	196360	None
GCA_044872385.1_PDT002213729.1_genomic	100.0	4.43	Neural Network (Specific Model)	11	0.893	320870	302.1101981633639	2095665	0.35	2069	20	663940	None
GCA_044882125.1_PDT002213213.1_genomic	100.0	0.16	Neural Network (Specific Model)	11	0.894	92007	301.5639423076923	2101294	0.35	2080	42	209870	None
GCA_044887265.1_PDT002212828.1_genomic	100.0	0.51	Neural Network (Specific Model)	11	0.892	135864	301.1970051474029	2161848	0.35	2137	26	398710	None
GCA_044887445.1_PDT002212821.1_genomic	100.0	0.25	Neural Network (Specific Model)	11	0.893	537656	302.69414519906326	2167637	0.35	2135	14	785242	None
GCA_044887565.1_PDT002212816.1_genomic	100.0	0.3	Neural Network (Specific Model)	11	0.893	178274	302.7329192546584	2124454	0.35	2093	30	368246	None
GCA_044887825.1_PDT002212798.1_genomic	100.0	0.11	Neural Network (Specific Model)	11	0.894	40011	300.3395278754395	2002159	0.35	1991	96	139946	None
GCA_044888455.1_PDT002212756.1_genomic	100.0	0.15	Neural Network (Specific Model)	11	0.892	383605	300.46848635235733	2032897	0.35	2015	22	681023	None
GCA_044918985.1_PDT002212733.1_genomic	100.0	0.15	Neural Network (Specific Model)	11	0.892	78132	296.9169435215947	2101274	0.35	2107	51	197205	None
GCA_045203925.1_PDT002210646.1_genomic	100.0	0.2	Neural Network (Specific Model)	11	0.892	42035	300.5416872224963	2044346	0.35	2027	87	121501	None
GCA_045265325.1_PDT002487612.1_genomic	100.0	0.12	Neural Network (Specific Model)	11	0.892	123260	302.1159491193738	2072998	0.35	2044	40	283145	None
GCA_045265465.1_PDT002487606.1_genomic	100.0	0.66	Neural Network (Specific Model)	11	0.893	295156	305.3211100099108	2065653	0.35	2018	24	538505	None
GCA_045270305.1_PDT002487379.1_genomic	100.0	0.36	Neural Network (Specific Model)	11	0.891	383647	301.6405711472181	2059756	0.35	2031	21	675434	None
GCA_045272215.1_PDT002487286.1_genomic	100.0	0.34	Neural Network (Specific Model)	11	0.893	263206	300.26545632973506	2053365	0.35	2038	26	675696	None
GCA_045272525.1_PDT002487274.1_genomic	100.0	0.13	Neural Network (Specific Model)	11	0.893	81569	304.01081335213917	2167700	0.35	2127	45	321605	None
GCA_045273495.1_PDT002487225.1_genomic	100.0	0.18	Neural Network (Specific Model)	11	0.892	94536	300.6696472925981	2031832	0.35	2013	40	313552	None
GCA_045279875.1_PDT002486989.1_genomic	100.0	0.39	Neural Network (Specific Model)	11	0.892	149417	300.9368836291913	2048759	0.35	2028	37	301765	None
GCA_045283575.1_PDT002486825.1_genomic	100.0	0.17	Neural Network (Specific Model)	11	0.892	59064	292.79489398528773	2272650	0.36	2311	84	161588	None
